filename,episode_num,episode_title,writer,air_date,season,episode_num_int,total_lines
041_trans.html,41,Revelations - Buffy Episode 41 Transcript,Douglas Petrie,Unknown,3,41,341
042_trans.html,42,Lovers Walk - Buffy Episode 42 Transcript,Dan Vebber,Unknown,3,42,389
043_trans.html,43,The Wish - Buffy Episode 43 Transcript,Marti Noxon,Unknown,3,43,291
044_trans.html,44,Amends - Buffy Episode 44 Transcript,Joss Whedon,Unknown,3,44,302
045_trans.html,45,Gingerbread - Buffy Episode 45 Transcript,a cleric from a village near the Black Forest. He...,Unknown,3,45,415
046_trans.html,46,Helpless - Buffy Episode 46 Transcript,David Fury,Unknown,3,46,212
047_trans.html,47,The Zeppo - Buffy Episode 47 Transcript,Dan Vebber,Unknown,3,47,338
048_trans.html,48,Bad Girls - Buffy Episode 48 Transcript,Doug Petrie,Unknown,3,48,371
049_trans.html,49,Consequences - Buffy Episode 49 Transcript,Marti Noxon,Unknown,3,49,318
050_trans.html,50,Dopplegangland - Buffy Episode 50 Transcript,Joss Whedon,Unknown,3,50,347
051_trans.html,51,Enemies - Buffy Episode 51 Transcript,Unknown,Unknown,3,51,371
052_trans.html,52,Earshot - Buffy Episode 52 Transcript,Unknown,Unknown,3,52,1
053_trans.html,53,Choices - Buffy Episode 53 Transcript,Unknown,Unknown,3,53,294
054_trans.html,54,The Prom - Buffy Episode 54 Transcript,Unknown,Unknown,3,54,305
055_trans.html,55,Graduation Day Part 1 - Buffy Episode 55 Transcript,Unknown,Unknown,3,55,414
056_trans.html,56,Graduation Day Part 2 - Buffy Episode 56 Transcript,Unknown,Unknown,3,56,158
057_trans.html,57,The Freshman - Buffy Episode 57 Transcript,Joss Whedon,Unknown,4,57,319
058_trans.html,58,Living Conditions - Buffy Episode 58 Transcript,Marti Noxon,Unknown,4,58,283
059_trans.html,59,In The Harsh Light of Day - Buffy Episode 59 Transcript,Jane Epson Directed by: James A. Contner,Unknown,4,59,334
060_trans.html,60,"Fear, Itself - Buffy Episode 60 Transcript",David Fury,Unknown,4,60,264
061_trans.html,61,Beer Bad - Buffy Episode 61 Transcript,Tracey Forbes,Unknown,4,61,212
062_trans.html,62,Wild At Heart - Buffy Episode 62 Transcript,Marti Noxon Directed by: David Grossman,Unknown,4,62,254
063_trans.html,63,The Initiative - Buffy Episode 63 Transcript,Douglas Petrie Directed by: James A. Contner,Unknown,4,63,324
064_trans.html,64,Pangs - Buffy Episode 64 Transcript,Unknown,Unknown,4,64,425
065_trans.html,65,Something Blue - Buffy Episode 65 Transcript,Unknown,Unknown,4,65,0
066_trans.html,66,Hush - Buffy Episode 66 Transcript,Unknown,Unknown,4,66,183
067_trans.html,67,Doomed - Buffy Episode 67 Transcript,"Marti Noxon, David Fury, and Jane Espenson",Unknown,4,67,245
068_trans.html,68,A New Man - Buffy Episode 68 Transcript,Jane Espenson,Unknown,4,68,371
069_trans.html,69,The I In Team - Buffy Episode 69 Transcript,David Fury,Unknown,4,69,305
070_trans.html,70,Goodbye Iowa - Buffy Episode 70 Transcript,Marti Noxon,Unknown,4,70,590
071_trans.html,71,This Year's Girl - Buffy Episode 71 Transcript,Douglas Petrie,Unknown,4,71,0
072_trans.html,72,Who Are You? - Buffy Episode 72 Transcript,Joss Whedon,Unknown,4,72,0
073_trans.html,73,Superstar - Buffy Episode 73 Transcript,Jane Espenson,Unknown,4,73,0
074_trans.html,74,Where The Wild Things Are - Buffy Episode 74 Transcript,Tracey Forbes,Unknown,4,74,331
075_trans.html,75,New Moon Rising - Buffy Episode 75 Transcript,Marti Noxon,Unknown,4,75,361
076_trans.html,76,The Yoko Factor - Buffy Episode 76 Transcript,Doug Petrie,Unknown,4,76,416
077_trans.html,77,Primeval - Buffy Episode 77 Transcript,David Fury,Unknown,4,77,343
078_trans.html,78,Restless - Buffy Episode 78 Transcript,Joss Whedon,Unknown,4,78,392
079_trans.html,79,Buffy vs. Dracula - Buffy Episode 79 Transcript,Marti Noxon,Unknown,5,79,321
080_trans.html,80,Real Me - Buffy Episode 80 Transcript,David Fury,Unknown,5,80,420
081_trans.html,81,The Replacement - Buffy Episode 81 Transcript,Jane Espenson,Unknown,5,81,285
082_trans.html,82,Out Of My Mind - Buffy Episode 82 Transcript,Rebecca Kirshner,Unknown,5,82,406
083_trans.html,83,No Place Like Home - Buffy Episode 83 Transcript,Douglas Petrie,Unknown,5,83,0
084_trans.html,84,Family - Buffy Episode 84 Transcript,Joss Whedon,Unknown,5,84,0
085_trans.html,85,Fool For Love - Buffy Episode 85 Transcript,Douglas Petrie,Unknown,5,85,0
086_trans.html,86,Shadow - Buffy Episode 86 Transcript,David Fury,Unknown,5,86,0
087_trans.html,87,Listening To Fear - Buffy Episode 87 Transcript,Jane Espenson,Unknown,5,87,0
088_trans.html,88,Into The Woods - Buffy Episode 88 Transcript,Marti Noxon,Unknown,5,88,0
089_trans.html,89,Triangle - Buffy Episode 89 Transcript,Jane Espenson,Unknown,5,89,0
090_trans.html,90,Checkpoint - Buffy Episode 90 Transcript,Jane Espenson & Doug Petrie,Unknown,5,90,0
091_trans.html,91,Blood Ties - Buffy Episode 91 Transcript,Steven DeKnight,Unknown,5,91,0
092_trans.html,92,Crush - Buffy Episode 92 Transcript,David Fury,Unknown,5,92,0
093_trans.html,93,I Was Made To Love You - Buffy Episode 93 Transcript,Jane Espenson,Unknown,5,93,0
094_trans.html,94,The Body - Buffy Episode 94 Transcript,Joss Whedon,Unknown,5,94,0
095_trans.html,95,Forever - Buffy Episode 95 Transcript,Marti Noxon,Unknown,5,95,0
096_trans.html,96,Intervention - Buffy Episode 96 Transcript,Jane Espenson,Unknown,5,96,0
097_trans.html,97,Though Love - Buffy Episode 97 Transcript,Rebecca Kirshner,Unknown,5,97,0
098_trans.html,98,Spiral - Buffy Episode 98 Transcript,Steven DeKnight,Unknown,5,98,0
099_trans.html,99,The Weight Of The World - Buffy Episode 99 Transcript,Douglas Petrie,Unknown,5,99,0
100_trans.html,100,The Gift - Buffy Episode 100 Transcript,Joss Whedon,Unknown,6,100,355
101_trans.html,101,Bargaining Part 1 Transcript,Marti Noxon and David Fury,Unknown,6,101,451
102_trans.html,102,Bargaining Part 2 Transcript,Marti Noxon and David Fury,Unknown,6,102,225
103_trans.html,103,After Life,Jane Espenson,Unknown,6,103,393
104_trans.html,104,Flooded,Douglas Petrie and Jane Espenson,Unknown,6,104,422
105_trans.html,105,Life Serial,David Fury and Jane Espenson,Unknown,6,105,406
106_trans.html,106,All The Way,Stephen S. DeKnight,Unknown,6,106,347
107_trans.html,107,Once More With Feeling,Joss Whedon,Unknown,6,107,263
108_trans.html,108,Tabula Rasa,Rebecca Rand Kirshner,Unknown,6,108,352
109_trans.html,109,Smashed,Drew Z. Greenberg,Unknown,6,109,379
110_trans.html,110,Wrecked,Marti Noxon,Unknown,6,110,332
111_trans.html,111,Gone,David Fury and Jane Espenson,Unknown,6,111,338
112_trans.html,112,DoubleMeat Palace,Jane Espenson,Unknown,6,112,313
113_trans.html,113,Dead Things,Steven S. DeKnight,Unknown,6,113,419
114_trans.html,114,Older and Far Away,Drew Z. Greenberg,Unknown,6,114,437
115_trans.html,115,As You Were,Douglas Petrie,Unknown,6,115,420
116_trans.html,116,Hell's Bells,Rebecca Rand Kirshner,Unknown,6,116,310
117_trans.html,117,Normal Again,Diego Gutierrez,Unknown,6,117,336
118_trans.html,118,Entropy,Drew Z. Greenberg,Unknown,6,118,457
119_trans.html,119,Seeing Red,Steven DeKnight,Unknown,6,119,418
120_trans.html,120,Villains - Transcript Buffy Episode,Marti Noxon,Unknown,6,120,382
121_trans.html,121,Two To Go,Douglas Petrie,Unknown,6,121,441
122_trans.html,122,Grave,David Fury,Unknown,6,122,322
123_trans.html,123,Lessons - 7x1 Buffy Episode Transcript,Joss Whedon,Unknown,7,123,280
124_trans.html,124,Beneath You - 7x2 Buffy Episode Transcript,Douglas Petrie,Unknown,7,124,315
125_trans.html,125,"Same Time, Same Place - 7x3 Buffy Episode Transcript",Jane Espenson,Unknown,7,125,347
126_trans.html,126,) Transcript,Rebecca Rand Kirshner,Unknown,7,126,275
127_trans.html,127,) Transcript,Drew Goddard,Unknown,7,127,286
128_trans.html,128,) Transcript,Drew Z. Greenberg,Unknown,7,128,305
129_trans.html,129,) Transcript,Jane Espenson & Drew Goddard,Unknown,7,129,325
130_trans.html,130,) Transcript,David Fury and Jane Espenson,Unknown,7,130,248
131_trans.html,131,) Transcript,Drew Goddard,Unknown,7,131,283
132_trans.html,132,Bring On The Night,Marti Noxon and Douglas,Unknown,7,132,256
133_trans.html,133,Show Time,David Fury,Unknown,7,133,303
134_trans.html,134,Potential - Buffy Episode 7x12 Transcript,Rebecca Rand Kirshner,Unknown,7,134,377
135_trans.html,135,The Killer In Me - Buffy Episode 7x13 Transcript,Drew Z. Greenburg,Unknown,7,135,297
136_trans.html,136,First Date - Buffy Episode 7x14 Transcript,Jane Espenson,Unknown,7,136,341
137_trans.html,137,Get It Done - Buffy Episode 7x15 Transcript,Douglas Petrie,Unknown,7,137,368
138_trans.html,138,Storyteller - Buffy Episode 7x16 Transcript,Jane Espenson,Unknown,7,138,322
139_trans.html,139,Lie's My Parents Told Me - Buffy Episode 7x17 Transcript,David Fury and Drew Goddard,Unknown,7,139,246
140_trans.html,140,Dirty Girls - Buffy Episode 7x18 Transcript,Drew Goddard,Unknown,7,140,322
141_trans.html,141,Empty Places - Buffy Episode 7x19 Transcript,Drew Z. Greenberg,Unknown,7,141,313
142_trans.html,142,Touched - Buffy Episode 7x20 Transcript,Rebecca Rand Kirshner,Unknown,7,142,317
143_trans.html,143,End of Days - Buffy Episode 7x21 Transcript,Douglas Petrie & Jane Espenson,Unknown,7,143,354
144_trans.html,144,Chosen - Buffy Episode 7x22 Transcript,Joss Whedon,Unknown,7,144,326
